,algorithm,num_flows,buff_size,abs_delta_l,abs_delta_l_tail,abs_delta_r,abs_delta_r_tail,ave_delta_l,ave_delta_l_tail,ave_delta_r,ave_delta_r_tail,formatted_algorithm,abs_delta_inv
128,Bbr,64,134.0,2.604166666666666,0.6510416666666665,21.504000000000005,17.664000000000005,1.4014290348925769,0.5957909596776365,11.929599999999999,10.592,BBR,1.5360000000000003
129,Cubic,64,134.0,2.604166666666666,1.302083333333333,12.288000000000002,4.992000000000001,2.3532443576388893,1.1411143049004195,5.424000000000001,4.953300000000001,Cubic,0.7680000000000001
130,Reno,64,134.0,2.604166666666666,1.302083333333333,9.984000000000002,5.376000000000001,2.502441406249999,1.0290944678151714,6.108,5.526449999999998,Reno,0.7680000000000001
131,Scalable,64,134.0,2.604166666666666,0.8680555555555554,5.760000000000002,4.608000000000001,2.2377333788706744,0.724771141433602,4.5450491803278705,4.273101639344263,Scalable,1.1520000000000004
132,Bbr,128,134.0,1.302083333333333,0.32552083333333326,41.47200000000001,30.720000000000006,0.9027976873088677,0.3916948529593297,18.439045871559628,16.14244403669725,BBR,3.0720000000000005
133,Cubic,128,134.0,1.302083333333333,0.6510416666666665,17.664000000000005,9.216000000000003,1.3020833333333337,0.6848812650476505,8.107354838709673,7.2984774193548345,Cubic,1.5360000000000003
134,Reno,128,134.0,1.302083333333333,0.6510416666666665,14.592000000000004,8.448000000000002,1.2969163359788363,0.6608015505584954,9.246476190476185,8.513523809523804,Reno,1.5360000000000003
135,Scalable,128,134.0,1.302083333333333,0.6510416666666665,12.288000000000002,9.216000000000003,1.277551328502415,0.5133795568850944,8.087373913043477,7.762476521739128,Scalable,1.5360000000000003
136,Reno,1,166.0,1.0351966873706002,0.9920634920634919,1.9380000000000004,1.8960000000000004,1.0351966873706002,0.9523809523809522,1.9380000000000004,1.9140000000000004,Reno,1.0080000000000002
137,Reno,2,166.0,1.1904761904761902,1.006745192791703,2.5320000000000005,2.3400000000000007,1.074165298303229,0.9269445463064823,2.2140000000000004,2.1600000000000006,Reno,0.9933000000000014
138,Reno,4,166.0,1.4880952380952377,1.0964912280701753,3.3600000000000008,3.000000000000001,1.3311851958525343,0.9526623090151165,2.976000000000001,2.9220000000000006,Reno,0.9120000000000001
139,Reno,8,166.0,2.083333333333333,1.1574074074074072,6.816000000000002,3.408000000000001,2.0833333333333326,1.0881729588080056,3.5466666666666673,2.8640000000000003,Reno,0.8640000000000001
140,Reno,16,166.0,5.208333333333332,1.302083333333333,5.088000000000001,4.032000000000001,2.4626517273576094,1.112225193107546,3.9529411764705893,3.672564705882354,Reno,0.7680000000000001
141,Reno,32,166.0,5.208333333333332,1.302083333333333,6.528000000000001,4.416000000000001,2.997504340277778,1.1637369791666667,4.884000000000002,4.4652,Reno,0.7680000000000001
