,algorithm,action,rounded_timestamp,num_flows,num_dropped_packets,num_packets,num_active_flows,num_dropped_flows
581,bbr,drop,0.154,8,44,167,8,8
582,bbr,drop,0.154,16,0,61,9,0
583,bbr,drop,0.154,64,0,2,1,0
584,bbr,drop,0.154,128,0,1,1,0
585,bbr,drop,0.155,1,9,143,1,1
586,bbr,drop,0.155,2,18,146,2,2
587,bbr,drop,0.155,4,15,145,4,4
588,bbr,drop,0.155,8,19,159,8,3
589,bbr,drop,0.155,16,0,99,13,0
590,bbr,drop,0.155,32,0,2,1,0
591,bbr,drop,0.155,64,0,1,1,0
592,bbr,drop,0.155,128,0,2,1,0
593,bbr,drop,0.156,1,18,153,1,1
594,bbr,drop,0.156,2,11,148,2,2
595,bbr,drop,0.156,4,0,148,4,0
596,bbr,drop,0.156,8,30,130,8,6
