,algorithm,action,rounded_timestamp,num_flows,num_dropped_packets,num_packets,num_active_flows,num_dropped_flows
522,bbr,drop,395.0,8,96,759,8,8
523,bbr,drop,395.0,16,194,833,16,16
524,bbr,drop,395.0,32,174,813,24,24
525,bbr,drop,395.0,64,108,769,47,36
526,bbr,drop,395.0,128,322,894,72,69
527,bbr,drop,400.0,1,28,713,1,1
528,bbr,drop,400.0,2,89,758,2,2
529,bbr,drop,400.0,4,83,752,4,4
530,bbr,drop,400.0,8,69,738,8,8
531,bbr,drop,400.0,16,196,833,16,16
532,bbr,drop,400.0,32,173,816,26,26
533,bbr,drop,400.0,64,124,783,47,35
534,bbr,drop,400.0,128,315,910,69,68
535,bbr,drop,405.0,1,0,691,1,0
536,bbr,drop,405.0,2,20,711,2,2
537,bbr,drop,405.0,4,78,745,4,4
538,bbr,drop,405.0,8,83,756,8,8
539,bbr,drop,405.0,16,185,823,16,16
540,bbr,drop,405.0,32,194,836,26,26
541,bbr,drop,405.0,64,156,797,47,33
542,bbr,drop,405.0,128,289,910,68,64
543,bbr,drop,410.0,1,37,719,1,1
544,bbr,drop,410.0,2,15,701,2,2
545,bbr,drop,410.0,4,81,753,4,4
546,bbr,drop,410.0,8,108,771,8,8
547,bbr,drop,410.0,16,156,805,16,16
548,bbr,drop,410.0,32,135,792,24,22
549,bbr,drop,410.0,64,200,834,46,40
550,bbr,drop,410.0,128,223,856,68,63
551,bbr,drop,415.0,1,15,702,1,1
552,bbr,drop,415.0,2,53,725,2,2
553,bbr,drop,415.0,4,92,758,4,4
554,bbr,drop,415.0,8,61,733,8,8
555,bbr,drop,415.0,16,164,811,16,16
556,bbr,drop,415.0,32,125,777,24,20
557,bbr,drop,415.0,64,228,847,46,44
558,bbr,drop,415.0,128,207,840,68,58
559,bbr,drop,420.0,1,27,711,1,1
560,bbr,drop,420.0,2,17,705,2,2
561,bbr,drop,420.0,4,104,767,4,4
562,bbr,drop,420.0,8,83,749,8,8
563,bbr,drop,420.0,16,148,799,16,16
564,bbr,drop,420.0,32,140,788,24,21
565,bbr,drop,420.0,64,219,843,46,42
566,bbr,drop,420.0,128,187,822,68,62
567,bbr,drop,425.0,1,45,725,1,1
568,bbr,drop,425.0,2,44,728,2,2
569,bbr,drop,425.0,4,86,755,4,4
570,bbr,drop,425.0,8,92,761,8,8
571,bbr,drop,425.0,16,183,822,16,16
572,bbr,drop,425.0,32,149,808,24,23
573,bbr,drop,425.0,64,233,840,46,43
574,bbr,drop,425.0,128,213,845,68,59
575,bbr,drop,430.0,1,0,692,1,0
576,bbr,drop,430.0,2,20,706,2,2
577,bbr,drop,430.0,4,84,749,4,4
578,bbr,drop,430.0,8,97,758,8,8
579,bbr,drop,430.0,16,179,823,16,16
580,bbr,drop,430.0,32,144,793,24,23
581,bbr,drop,430.0,64,210,831,46,42
582,bbr,drop,430.0,128,174,825,67,58
583,bbr,drop,435.0,1,22,707,1,1
584,bbr,drop,435.0,2,20,700,2,2
585,bbr,drop,435.0,4,104,770,4,4
586,bbr,drop,435.0,8,126,785,8,8
587,bbr,drop,435.0,16,150,800,16,16
588,bbr,drop,435.0,32,166,810,24,23
589,bbr,drop,435.0,64,212,851,46,45
590,bbr,drop,435.0,128,169,816,65,56
591,bbr,drop,440.0,1,8,698,1,1
592,bbr,drop,440.0,2,36,720,2,2
593,bbr,drop,440.0,4,116,772,4,4
594,bbr,drop,440.0,8,124,779,8,8
595,bbr,drop,440.0,16,123,779,16,16
